#	DL_[Mpc]	LIR_[10^10_Lsol]	L’CO_[1e8]	L’HCN(1e8)	HCN/CO	IR/HCN	Tdust	log_G0	log_n(H)	Size_R70_[kpc]_Lutz+2016	
05189-2524	170.3	118.1	67	6.2	0.093	1900	48	NaN	NaN	NaN	NaN
10566+2448	173.3	93.8	61.5	10.2	0.166	920	42	NaN	NaN	NaN	NaN
17208-0014	173.1	234.5	146.9	18.4	0.256	640	46	NaN	NaN	NaN	NaN
23365+3604	266.1	142	85	7.2	0.176	950	45	NaN	NaN	NaN	NaN
Arp_220	74.7	140.2	78.5	12.7	0.117	1520	44	-0.15	4.3	0.246	0.014
Mrk_231	170.3	303.5	82.2	11.6	0.226	1630	47	4.79	1.84	NaN	NaN
Mrk_273	152.2	129.9	65	7.4	0.234	860	48	3.76	2.09	NaN	NaN
UGC_05101	160.2	89.2	50.8	10.2	0.197	892	36	NaN	NaN	NaN	NaN
VII_Zw_31	223.4	87.1	125	6.5	0.078	890	34	NaN	NaN	1.584	0.022
18293-3413	72.1	53.7	85.5	4.03	0.047	1330	38	NaN	NaN	NaN	NaN
Arp_148	143.3	36.5	-47	4	-0.085	913	35	NaN	NaN	0.728	0.02
Arp_193	92.7	37.3	39.8	2.7	0.238	400	37	NaN	NaN	NaN	NaN
Arp_299	43	62.8	29	2.1	0.072	2990	46	NaN	NaN	NaN	NaN
Arp_55	162.7	45.7	125	5.7	0.03	1200	36	NaN	NaN	NaN	NaN
IC_1623	81.7	46.7	130.5	8.5	0.065	549	39	2.99	2.47	NaN	NaN
IC_342	3.7	1.4	9.5	0.47	0.05	300	30	NaN	NaN	3.781	0.006
IC_5179	46.2	14.1	26.4	3.42	0.129	420	33	2.19	2.5	1.557	0.001
M51	9.6	4.2	19.4	0.5	0.026	850	30	NaN	NaN	NaN	NaN
M82	3.4	4.6	5.7	0.3	0.053	1530	45	NaN	NaN	NaN	NaN
M83	3.7	1.4	8.1	0.35	0.043	420	31	NaN	NaN	NaN	NaN
Mrk_1027	123.5	25.7	41.7	1.89	0.045	1350	37	NaN	NaN	NaN	NaN
Mrk_331	75.3	26.9	52.1	1.8	0.064	810	41	3.15	2.37	NaN	NaN
NGC_1022	21.1	2.6	4.2	0.2	0.047	1300	39	NaN	NaN	NaN	NaN
NGC_1055	14.8	2.1	13.3	-0.37	-0.028	-568	29	NaN	NaN	NaN	NaN
NGC_1068	16.7	28.3	20.7	3.61	0.174	784	40	NaN	NaN	NaN	NaN
NGC_1144	117.3	25.1	108.9	2.67	0.025	940	32	NaN	NaN	NaN	NaN
NGC_1365	20.8	12.9	58.7	3.1	0.053	420	32	2.59	2.41	NaN	NaN
NGC_1530	35.4	4.7	23	0.49	0.021	960	29	NaN	NaN	NaN	NaN
NGC_1614	63.2	38.6	24.5	1.25	0.051	3090	46	3.71	2.21	0.496	0.006
NGC_2146	15.2	10	12.5	0.96	0.071	1040	38	2.78	2.48	1.253	0.001
NGC_2276	35.5	6.2	10.2	0.4	0.039	1550	31	NaN	NaN	NaN	NaN
NGC_253	2.5	2.1	4.6	0.27	0.059	778	34	NaN	NaN	NaN	NaN
NGC_2903	6.2	0.83	2.3	-0.09	-0.036	-922	29	NaN	NaN	NaN	NaN
NGC_3079	16.2	4.3	24	1	0.042	430	32	NaN	NaN	NaN	NaN
NGC_3147	39.5	6.2	59	0.9	0.015	690	26	NaN	NaN	NaN	NaN
NGC_3556	10.6	1.35	-4.5	-0.09	0.02	-1500	30	NaN	NaN	NaN	NaN
NGC_3627	7.6	1.26	4.4	-0.08	-0.017	-1580	30	NaN	NaN	2.517	0.002
NGC_3628	7.6	1.01	7.1	0.24	0.034	421	30	NaN	NaN	NaN	NaN
NGC_3893	13.9	1.15	4.1	0.23	0.056	500	30	NaN	NaN	NaN	NaN
NGC_4030	17.1	2.14	15.2	0.54	0.036	398	29	NaN	NaN	NaN	NaN
NGC_4041	18	1.7	3.9	0.18	0.046	944	31	NaN	NaN	NaN	NaN
NGC_4414	9.3	0.81	4.6	0.16	0.033	510	29	NaN	NaN	NaN	NaN
NGC_4631	8.1	2	2.3	0.08	0.037	2380	30	NaN	NaN	1.507	0.001
NGC_4826	4.7	0.26	1.3	-0.04	-0.03	-750	33	NaN	NaN	0.447	0
NGC_4945	3.7	2.6	5.8	0.27	0.047	960	31	NaN	NaN	NaN	NaN
NGC_5005	14	1.4	8.2	0.41	0.049	350	28	NaN	NaN	NaN	NaN
NGC_5055	7.3	1.1	8.6	-0.1	-0.012	-1140	26	NaN	NaN	1.407	0.001
NGC_5135	51.7	13.8	31.3	2.73	0.087	510	36	NaN	NaN	0.615	0.003
NGC_520	31.1	8.5	16.3	0.64	0.039	1330	38	NaN	NaN	NaN	NaN
NGC_5678	27.8	3	17.2	0.75	0.044	410	29	NaN	NaN	NaN	NaN
NGC_5713	24	4.2	8.1	0.22	0.027	1880	27	NaN	NaN	1.588	0.002
NGC_5775	21.3	3.8	10.9	0.57	0.052	670	32	NaN	NaN	NaN	NaN
NGC_6240	98.1	61.2	79	6	0.139	560	41	NaN	NaN	0.572	0.012
NGC_660	14	3.7	7.3	-0.26	-0.036	-1420	37	NaN	NaN	NaN	NaN
NGC_6921	60.3	11.4	17.5	2.81	0.16	410	34	NaN	NaN	0.622	0.007
NGC_6946	5.5	1.6	9.2	0.49	0.053	330	30	NaN	NaN	3.973	0.003
NGC_695	133.5	46.6	92.9	2	0.046	1080	34	2.64	2.53	3.371	0.006
NGC_7130	65	21.4	44.9	3.27	0.071	660	37	2.73	2.42	0.458	0.007
NGC_7331	15	3.5	-10.7	-0.44	0.041	-800	28	NaN	NaN	2.853	0.002
NGC_7469	67.5	40.7	37.1	2	0.059	1860	41	3.76	2.16	0.576	0.005
NGC_7479	35.2	7.4	26.7	1.12	0.042	665	36	NaN	NaN	0.118	0.006
NGC_7771	60.4	21.4	90.8	3	0.07	335	33	2.16	2.25	0.863	0.003
NGC_828	75.4	22.4	58.5	1.3	0.022	1720	33	2.17	2.51	1.677	0.003
NGC_891	10.3	2.6	11	0.25	0.024	1120	28	NaN	NaN	NaN	NaN
