# Source	D_L_[Mpc]	L_FIR_[10^11]	L’CO	L’_HCN	HCN/CO	HCN_FIR	log_G0_	log_nH	Size_R70_[kpc]_Lutz+2016	
IC_860	58.9	1.47	4.04E+08	56800000	0.0832	0.000387	-0.31	4.78	0.095	0.016
II_Zw_96	161	9.3	2.82E+09	186000000	0.039	0.0002	NaN	NaN	NaN	NaN
III_Zw_35	114.5	4.16	1.66E+09	290000000	0.1035	0.000697	NaN	NaN	0.272	0.032
IRAS_10173+0828	220.1	7.75	2.06E+09	427000000	0.1222	0.00055	NaN	NaN	0.317	0.104
IRAS_17138-1017	74.2	2.52	1.82E+09	65400000	0.0212	0.00026	NaN	NaN	0.804	0.004
IRAS_18090+0130	123.5	4.01	3.52E+09	159000000	0.0268	0.000397	2.72	2.13	1.131	0.01
MCG+12-02-001	65.8	2.88	1.91E+09	78900000	0.0244	0.000274	NaN	NaN	0.69	0.004
NCG+02-20-003	73.7	1.43	9.26E+08	57800000	0.0369	0.000405	NaN	NaN	NaN	NaN
NGC_1614	66.6	4.5	1.46E+09	71800000	0.0291	0.000159	3.71	2.21	0.496	0.006
NGC_23	60.1	0.79	1.24E+09	59900000	0.0286	0.000758	2.89	2.49	1.004	0.003
NGC_2388	60.5	1.86	1.89E+09	113000000	0.0354	0.000609	3.08	2.4	0.533	0.004
NGC_2623	82.7	3.96	1.57E+09	182000000	0.0683	0.00046	3.36	2.18	0.218	0.018
NGC_3110	77.8	2.29	2.30E+09	114000000	0.0293	0.000498	2.3	2.52	1.459	0.003
NGC_5653	53.3	1.09	1.26E+09	58200000	0.0274	0.000534	2.37	2.52	1.926	0.002
NGC_5936	59	1.1	1.16E+09	67000000	0.0343	0.000609	2.39	2.5	0.51	0.004
#NGC_6701	54.5	1.04	1.30E+09	67500000	0.0307	0.000649	2.5	2.47	0.494	0.004
NGC_7591	65.4	1.12	1.28E+09	53400000	0.0247	0.000477	2.42	2.4	0.452	0.007
#UGC_1845	64.1	1.25	1.64E+09	109000000	0.0392	0.000868	3.72	2.21	0.528	0.006
UGC3351	63.1	1.78	2.24E+09	177000000	0.0467	0.000994	2.35	2.46	0.572	0.004


